Countries,Region,RegionImage
Poland,Zywiec,file:///storage/sdcard0/Memento/Regions Image/Poland - Zywiec.png
Portugal,Lisboa,file:///storage/sdcard0/Memento/Regions Image/Portugal - Lisboa.png
Portugal,Vialonga,file:///storage/sdcard0/Memento/Regions Image/Portugal - Vialonga.png
Portugal,Viseu,file:///storage/sdcard0/Memento/Regions Image/Portugal - Viseu.png
Republic of Ireland,County Carlow,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Carlow.png
Republic of Ireland,County Cork,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Cork.png
Republic of Ireland,County Donegal,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Donegal.png
Republic of Ireland,County Dublin,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Dublin.png
Republic of Ireland,County Galway,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Galway.png
Republic of Ireland,County Kildare,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Kildare.png
Republic of Ireland,County Kilkenny,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Kilkenny.png
Republic of Ireland,County Louth,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Louth.png
Republic of Ireland,County Meath,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Meath.png
Republic of Ireland,County Roscommon,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Roscommon.png
Republic of Ireland,County Tipperary,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Tipperary.png
Republic of Ireland,County Waterford,file:///storage/sdcard0/Memento/Regions Image/Republic of Ireland - County Waterford.png
Romania,Baia Mare,file:///storage/sdcard0/Memento/Regions Image/Romania - Baia Mare.png
Romania,Brasov,file:///storage/sdcard0/Memento/Regions Image/Romania - Brasov.png
Romania,Harghita,file:///storage/sdcard0/Memento/Regions Image/Romania - Harghita.png
Russia,Moscow Oblast,file:///storage/sdcard0/Memento/Regions Image/Russia - Moscow Oblast.png
Russia,Northwestern,file:///storage/sdcard0/Memento/Regions Image/Russia - Northwestern.png
Russia,Samara Oblast,file:///storage/sdcard0/Memento/Regions Image/Russia - Samara Oblast.png
Scotland,Aberdeenshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Aberdeenshire.png
Scotland,Argyllshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Argyllshire.png
Scotland,Ayrshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Ayrshire.png
Scotland,Clackmannanshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Clackmannanshire.png
Scotland,Dunbartonshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Dunbartonshire.png
Scotland,East Lothian,file:///storage/sdcard0/Memento/Regions Image/Scotland - East Lothian.png
Scotland,Fife,file:///storage/sdcard0/Memento/Regions Image/Scotland - Fife.png
Scotland,Inverness-shire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Inverness-shire.png
Scotland,Isle of Arran,file:///storage/sdcard0/Memento/Regions Image/Scotland - Isle of Arran.png
Scotland,Isle of Skye,file:///storage/sdcard0/Memento/Regions Image/Scotland - Isle of Skye.png
Scotland,Kirkcudbrightshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Kirkcudbrightshire.png
Scotland,Lanarkshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Lanarkshire.png
Scotland,Midlothian,file:///storage/sdcard0/Memento/Regions Image/Scotland - Midlothian.png
Scotland,Morayshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Morayshire.png
Scotland,Orkney Island,file:///storage/sdcard0/Memento/Regions Image/Scotland - Orkney Island.png
Scotland,Peeblesshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Peeblesshire.png
Scotland,Perthshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Perthshire.png
Scotland,Renfrewshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Renfrewshire.png
Scotland,Ross-Shire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Ross-Shire.png
Scotland,Roxburghshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Roxburghshire.png
Scotland,Shetland,file:///storage/sdcard0/Memento/Regions Image/Scotland - Shetland.png
Scotland,Stirlingshire,file:///storage/sdcard0/Memento/Regions Image/Scotland - Stirlingshire.png
Scotland,West Lothian,file:///storage/sdcard0/Memento/Regions Image/Scotland - West Lothian.png
Serbia,Novi Sad,file:///storage/sdcard0/Memento/Regions Image/Serbia - Novi Sad.png
Singapore,Singapore,file:///storage/sdcard0/Memento/Regions Image/Singapore - Singapore.png
Slovakia,Bratislava,file:///storage/sdcard0/Memento/Regions Image/Slovakia - Bratislava.png
Slovakia,Bytča,file:///storage/sdcard0/Memento/Regions Image/Slovakia - Bytča.png
Slovakia,Hurbanovo,file:///storage/sdcard0/Memento/Regions Image/Slovakia - Hurbanovo.png
Slovakia,Košice,file:///storage/sdcard0/Memento/Regions Image/Slovakia - Košice.png
Slovakia,Topolcany,file:///storage/sdcard0/Memento/Regions Image/Slovakia - Topolcany.png
